fdc_id,food_name,calories,protein,carbs,fat,fiber,sugar,sodium
2346384,"Cottage cheese, full fat, large or small curd",104.574374,11.62436,4.59964,4.225,,,349.8
2346385,"Cream cheese, full fat, block",336.73206,5.78985,4.55615,33.49,,,367.8
2346386,"Cream, heavy",335.8933226,2.017994,3.799506,35.56,,,20.61
2346387,"Cream, sour, full fat",192.7437716,3.070694,5.555506,17.99,,,50.04
2346388,"Lettuce, iceberg, raw",14.455425,0.7425,3.36875,0.07375,,,16.11
2346389,"Lettuce, romaine, green, raw",17.45834025,0.976875,4.055575,0.07125,,,23.0
2346390,"Lettuce, leaf, red, raw",14.68480875,0.883125,3.260575,0.1063,,,24.89
2346391,"Lettuce, leaf, green, raw",18.4931365,1.09375,4.06615,0.1563,,,28.88
2346392,"Nuts, pine nuts, raw",642.99228,15.7039,18.5921,61.27,3.941,,0.0
2346393,"Nuts, almonds, whole, raw",583.597022,21.45038,20.03462,51.09,10.78,,0.0
2346394,"Nuts, walnuts, English, halves, raw",678.66434,14.5644,10.9096,69.74,5.21,,0.0
2346395,"Nuts, pecans, halves, raw",699.59644,9.9587,12.6993,73.28,5.793,,0.0
2346396,"Oats, whole grain, rolled, old fashioned",378.866123,13.49645,68.65755,5.89,,,0.6675
2346397,"Oats, whole grain, steel cut",379.2080612,12.51118,69.75082,5.8,,,0.3113
2346398,"Pineapple, raw",54.046596,0.4609375,14.0914625,0.2113,0.9346,,0.0
2346399,"Cherries, sweet, dark red, raw",63.290775,1.039375,16.163125,0.1925,,,0.0
2346400,"Beans, snap, green, raw",33.5679465,1.96875,7.41245,0.275,3.011,,0.0
2346401,"Potatoes, russet, without skin, raw",80.9523625,2.27375,17.77125,0.36,,,2.743
2346402,"Potatoes, red, without skin, raw",73.373425,2.0625,16.27,0.2475,,,2.856
2346403,"Potatoes, gold, without skin, raw",71.575228,1.8125,15.9624,0.2638,,,2.238
2346404,"Sweet potatoes, orange flesh, without skin, raw",77.35727375,1.578125,17.327875,0.375,,,0.0
2346405,"Celery, raw",14.83215875,0.4921875,3.3165125,0.1625,,,97.21
2346406,"Cucumber, with peel, raw",13.934925,0.625,2.9525,0.1775,,,1.515
2346407,"Cabbage, green, raw",27.8695,0.96125,6.38375,0.2275,,,16.1
2346408,"Cabbage, red, raw",29.943836,1.2425,6.7899,0.2138,,,11.72
2512371,"Flour, amaranth",377.9609,13.2093,68.7787,6.236,7.209,,0.0
2512372,"Flour, quinoa",378.394015,11.92235,69.52465,6.601,6.295,,6.321
2512373,"Flour, sorghum",363.8590417,8.27277,77.39123,3.586,6.019,,0.0
2512374,"Flour, buckwheat",334.3016028,8.88492,75.01808,2.484,10.35,,0.0
2512375,"Flour, rye",350.962038,8.3952,77.1618,1.908,13.68,,0.0
2512376,"Flour, barley",357.191828,8.72168,77.39832,2.45,12.79,,20.33
2512377,"Flour, cassava",358.55706075,0.918225,87.312975,0.4938,4.834,,13.08
2512378,"Buckwheat, whole grain",331.6005206,11.06534,71.13066,3.039,4.046,,0.0
2512379,"Millet, whole grain",380.6064975,10.02177,74.44623,4.194,2.619,,0.0
2512380,"Rice, brown, long grain, unenriched, raw",368.3584745,7.25305,76.68795,3.306,3.021,,0.0
2512381,"Rice, white, long grain, unenriched, raw",369.637321,7.03885,80.31315,1.033,0.1488,,0.4625
2514743,"Beef, ground, 90% lean meat / 10% fat, raw",190.134819,18.15625,0.0,12.85,,,61.64
